id,Montavimo data,Kliento įmonės kodas,Kliento pavadinimas,Adresas,Įrangos pavadinimas,Serijos numeris,Prižiūri,Patikr. Periodiškumas,Sutartis YRA/NĖRA,Atlikta,Komentaras,Patikros data,Sekanti patikra
1,2021-01-12,301798757," Albaela","Vienybės g.19, Klaipėda",VistaScan Mini Easy Image Plate Scanner,M443443102,Artūras,1k/ metus,Yra,Taip,Albaela Albertas +370 698 31 772,11/23/2023,11/23/2024
2,7/9/2020,301798757,IĮ Albaela,"Vienybės g.19, Klaipėda",Dentalinis rentgenas VistaIntra DC  alkū,L204403176,Artūras,1k/ metus,Yra,Taip,na,11/23/2023,11/23/2024
3,7/9/2020,301798757,IĮ Albaela,"Vienybės g.19, Klaipėda",Odontologijos centras INTEGO,255289,Artūras,1k/ metus,Yra,Taip,,7/1/2025,7/1/2026
4,11/19/2020,301798757," Albaela","Vienybės g.19, Klaipėda",Odontologijos centras INTEGO,256677,Artūras,1k/ metus,Yra,Taip,,7/1/2025,7/1/2026
5,7/9/2020,301798757,IĮ Albaela,"Vienybės g.19, Klaipėda",Autoklavas  DOMINA PLUS B,,Artūras,1k/ metus,Yra,Taip,,7/1/2025,7/1/2026
6,8/10/2020,301798757,IĮ Albaela,"Vienybės g.19, Klaipėda",Kombinuotas siurblys Durr VS600,,Artūras,1k/ metus,Yra,Taip,,11/23/2023,11/23/2024
7,7/9/2020,301798757,IĮ Albaela,"Vienybės g.19, Klaipėda",Kompresorius Tornado 2 su membr.džiov.,M423272046,Artūras,1k/ metus,Yra,Taip,,11/23/2023,11/23/2024
8,8/28/2019,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",VistaScan Mini Plus EU Image Plate Scann,L408230050,Artūras,1k/ metus,Yra,Ne,ex Danvite,1/4/2022,1/4/2023
9,10/27/2016,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Kompresorius Tornado 2 su membr.džiov.,,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
10,10/14/2022,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Kompresorius Tornado 2 su membr.džiov.,P469101048,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
11,1/30/2017,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Kompresorius Tornado 2 su membr.džiov.,,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
12,10/27/2016,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Centrinis siurblys VS 300 S (šlapias),,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
13,1/30/2017,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Centrinis siurblys VS 300 S (šlapias),,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
14,2/20/2019,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Dentalinis rentgenas VistaIntra DC  alkū,K204401907,Artūras,1k/ metus,Yra,Ne,,4/25/2025,4/25/2026
15,12/2/2020,141044899," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Durr Dental VistaVox  3D panoraminis ren,,Artūras,1k/ metus,Yra,Taip,Tvarkinga,4/25/2025,4/25/2026
16,3/2/2021,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Odontologijos centras INTEGO,257852,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
17,10/27/2016,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Odontologijos centras INTEGO,,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
18,10/27/2016,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Odontologijos centras INTEGO,,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
19,10/27/2016,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Odontologijos centras INTEGO,,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
20,1/30/2017,141044898," Danvitė plius","Gegužės g.1/ Bokšto g. 18, Klaipėda",Odontologijos centras INTEGO,,Artūras,1k/ metus,Yra,Ne,,1/4/2022,1/4/2023
21,11/17/2021,302727072," VetPet LT","Sodų g. 19, Jonava,tel. 060627453",VistaScan Mini Plus EU Image Plate Scann,N449258052,Tomas,1k/ metus,Nėra,Taip,"info@vetpet.lt, 370 606 27453 Linas",6/20/2025,6/20/2026
22,11/3/2017,168965880,"  MALIDENTA ",Tičkūnų km.,VistaScan Mini Easy Image Plate Scanner,J354343157,Artūras,1k/ metus,Yra,Taip,,8/30/2023,8/30/2024
23,11/3/2017,168965880,"  MALIDENTA ",Tičkūnų km.,Kompresorius Tornado 2 su membr.džiov.,J369166030,Artūras,1k/ metus,Yra,Taip,,12/1/2025,12/1/2026
24,3/5/2014,168965880,"  MALIDENTA ",Tičkūnų km.,Centrinis siurblys  V250 (sausas),,Artūras,1k/ metus,Yra,Taip,,12/1/2025,12/1/2026
25,5/9/2014,168965880,"  MALIDENTA ",Tičkūnų km.,Vario DGArm S 30cm,2912VF3955,Artūras,1k/ metus,Yra,Taip,,2/17/2025,2/17/2026
26,,,"  MALIDENTA ",Tičkūnų km.,Sirona Heliodent Vario,03019,Artūras,1k/ metus,Yra,Taip,,2/17/2025,2/17/2026
27,,,"  MALIDENTA ",Tičkūnų km.,Odontologijos centras Sirona C8+,11123,Artūras,1k/ metus,Yra,Taip,,8/30/2023,8/30/2024
28,,,"  MALIDENTA ",Tičkūnų km.,Odontologijos centras Sirona C8+,13401,Artūras,1k/ metus,Yra,Taip,,8/30/2023,8/30/2024
29,,,"  MALIDENTA ",Tičkūnų km.,Odontologijos centras Sirona C8,010275,Artūras,1k/ metus,Yra,Taip,,8/30/2023,8/30/2024
30,,,"  MALIDENTA ",Tičkūnų km.,Autoklavas Siroklav B,4280,Artūras,1k/ metus,Yra,Taip,,2/17/2025,2/17/2026
31,3/19/2018,302582260,"Dentalklinika,",Savanorių pr. Vilnius,VistaScan Mini Easy Image Plate sc. 2017,J365554183,Tomas,1k/ metus,Nėra,Taip,"patikrinta, veikia tvarkingai",7/22/2025,7/22/2026
